date,district,state,region,lat,lon,max_temp,humidity,wind_kmph,rainfall_mm
2025-01-01,Mumbai,Maharashtra,West,19.076,72.8777,27.0,64.5,14.6,0.3
2025-01-02,Mumbai,Maharashtra,West,19.076,72.8777,28.9,66.9,16.0,2.5
2025-01-03,Mumbai,Maharashtra,West,19.076,72.8777,25.4,68.3,10.1,0.7
2025-01-04,Mumbai,Maharashtra,West,19.076,72.8777,25.5,49.3,15.8,0.7
2025-01-05,Mumbai,Maharashtra,West,19.076,72.8777,24.6,66.7,8.4,1.2
2025-01-06,Mumbai,Maharashtra,West,19.076,72.8777,24.0,61.0,14.4,1.4
2025-01-07,Mumbai,Maharashtra,West,19.076,72.8777,25.6,65.3,7.4,0.1
2025-01-08,Mumbai,Maharashtra,West,19.076,72.8777,27.3,60.9,15.8,0.2
2025-01-09,Mumbai,Maharashtra,West,19.076,72.8777,25.7,75.5,11.9,0.1
2025-01-10,Mumbai,Maharashtra,West,19.076,72.8777,24.9,62.9,13.6,2.2
2025-01-11,Mumbai,Maharashtra,West,19.076,72.8777,27.3,52.3,6.7,7.0
2025-01-12,Mumbai,Maharashtra,West,19.076,72.8777,27.4,65.3,15.5,5.1
2025-01-13,Mumbai,Maharashtra,West,19.076,72.8777,26.9,62.0,6.1,3.5
2025-01-14,Mumbai,Maharashtra,West,19.076,72.8777,25.9,55.6,8.5,1.6
2025-01-15,Mumbai,Maharashtra,West,19.076,72.8777,27.9,61.2,9.3,0.0
2025-01-16,Mumbai,Maharashtra,West,19.076,72.8777,28.5,66.9,15.6,2.6
2025-01-17,Mumbai,Maharashtra,West,19.076,72.8777,26.0,61.4,13.3,0.8
2025-01-18,Mumbai,Maharashtra,West,19.076,72.8777,29.4,62.0,10.4,0.8
2025-01-19,Mumbai,Maharashtra,West,19.076,72.8777,29.2,71.1,11.7,0.3
2025-01-20,Mumbai,Maharashtra,West,19.076,72.8777,29.6,68.6,15.2,1.6
2025-01-21,Mumbai,Maharashtra,West,19.076,72.8777,27.9,72.0,1.5,0.1
2025-01-22,Mumbai,Maharashtra,West,19.076,72.8777,29.5,54.0,16.2,1.4
2025-01-23,Mumbai,Maharashtra,West,19.076,72.8777,27.7,64.4,17.9,0.5
2025-01-24,Mumbai,Maharashtra,West,19.076,72.8777,27.3,60.9,10.3,0.4
2025-01-25,Mumbai,Maharashtra,West,19.076,72.8777,30.0,63.9,9.9,4.5
2025-01-26,Mumbai,Maharashtra,West,19.076,72.8777,29.4,70.0,12.7,4.5
2025-01-27,Mumbai,Maharashtra,West,19.076,72.8777,27.3,59.7,10.4,3.4
2025-01-28,Mumbai,Maharashtra,West,19.076,72.8777,26.1,45.5,13.4,0.5
2025-01-29,Mumbai,Maharashtra,West,19.076,72.8777,28.2,56.5,11.4,1.5
2025-01-30,Mumbai,Maharashtra,West,19.076,72.8777,29.7,55.4,17.6,7.1
2025-01-31,Mumbai,Maharashtra,West,19.076,72.8777,25.6,60.8,12.2,0.1
2025-02-01,Mumbai,Maharashtra,West,19.076,72.8777,33.6,63.6,11.0,0.5
2025-02-02,Mumbai,Maharashtra,West,19.076,72.8777,29.2,53.6,16.6,0.5
